symbol,price,type,timeframe_source,touch_count,recency,strength,first_seen,last_touched,display_only,research_flag,no_future_data,timestamp
BTCUSDT,109.1359,range_high,15m,1,0.0,1.25,2026-01-01T05:15:00+00:00,2026-01-01T08:00:00+00:00,True,True,True,2026-01-01T08:00:00+00:00
BTCUSDT,102.1461,range_low,15m,2,0.0,1.6875,2026-01-01T05:15:00+00:00,2026-01-01T08:00:00+00:00,True,True,True,2026-01-01T08:00:00+00:00
BTCUSDT,105.4461,midpoint,15m,4,0.0,2.5625,2026-01-01T05:30:00+00:00,2026-01-01T08:15:00+00:00,True,True,True,2026-01-01T08:15:00+00:00
BTCUSDT,108.7461,range_high,15m,1,0.0,1.25,2026-01-01T05:30:00+00:00,2026-01-01T08:15:00+00:00,True,True,True,2026-01-01T08:15:00+00:00
BTCUSDT,102.1461,range_low,15m,2,0.0,1.6875,2026-01-01T05:30:00+00:00,2026-01-01T08:15:00+00:00,True,True,True,2026-01-01T08:15:00+00:00
BTCUSDT,105.8751,midpoint,15m,2,0.0,1.6875,2026-01-01T05:45:00+00:00,2026-01-01T08:30:00+00:00,True,True,True,2026-01-01T08:30:00+00:00
BTCUSDT,109.6041,range_high,15m,1,0.0,1.25,2026-01-01T05:45:00+00:00,2026-01-01T08:30:00+00:00,True,True,True,2026-01-01T08:30:00+00:00
BTCUSDT,102.1461,range_low,15m,2,0.0,1.6875,2026-01-01T05:45:00+00:00,2026-01-01T08:30:00+00:00,True,True,True,2026-01-01T08:30:00+00:00
BTCUSDT,106.28115,midpoint,15m,2,0.0,1.6875,2026-01-01T06:00:00+00:00,2026-01-01T08:45:00+00:00,True,True,True,2026-01-01T08:45:00+00:00
BTCUSDT,110.4162,range_high,15m,1,0.0,1.25,2026-01-01T06:00:00+00:00,2026-01-01T08:45:00+00:00,True,True,True,2026-01-01T08:45:00+00:00
BTCUSDT,102.1461,range_low,15m,2,0.0,1.6875,2026-01-01T06:00:00+00:00,2026-01-01T08:45:00+00:00,True,True,True,2026-01-01T08:45:00+00:00
BTCUSDT,106.28585,midpoint,15m,2,0.0,1.6875,2026-01-01T06:15:00+00:00,2026-01-01T09:00:00+00:00,True,True,True,2026-01-01T09:00:00+00:00
BTCUSDT,110.4256,range_high,15m,2,0.0,1.6875,2026-01-01T06:15:00+00:00,2026-01-01T09:00:00+00:00,True,True,True,2026-01-01T09:00:00+00:00
BTCUSDT,102.1461,range_low,15m,2,0.0,1.6875,2026-01-01T06:15:00+00:00,2026-01-01T09:00:00+00:00,True,True,True,2026-01-01T09:00:00+00:00
BTCUSDT,106.28585,midpoint,15m,2,0.0,1.6875,2026-01-01T06:30:00+00:00,2026-01-01T09:15:00+00:00,True,True,True,2026-01-01T09:15:00+00:00
BTCUSDT,110.4256,range_high,15m,3,0.0,2.125,2026-01-01T06:30:00+00:00,2026-01-01T09:15:00+00:00,True,True,True,2026-01-01T09:15:00+00:00
BTCUSDT,102.1461,range_low,15m,2,0.0,1.6875,2026-01-01T06:30:00+00:00,2026-01-01T09:15:00+00:00,True,True,True,2026-01-01T09:15:00+00:00
BTCUSDT,110.4256,resistance,15m,3,1.0,2.1248,2026-01-01T09:00:00+00:00,2026-01-01T09:00:00+00:00,True,True,True,2026-01-01T09:00:00+00:00
BTCUSDT,106.50245,midpoint,15m,2,0.0,1.6875,2026-01-01T06:45:00+00:00,2026-01-01T09:30:00+00:00,True,True,True,2026-01-01T09:30:00+00:00
BTCUSDT,110.8588,range_high,15m,1,0.0,1.25,2026-01-01T06:45:00+00:00,2026-01-01T09:30:00+00:00,True,True,True,2026-01-01T09:30:00+00:00
BTCUSDT,102.1461,range_low,15m,2,0.0,1.6875,2026-01-01T06:45:00+00:00,2026-01-01T09:30:00+00:00,True,True,True,2026-01-01T09:30:00+00:00
BTCUSDT,109.559,support,15m,4,1.0,2.5623,2026-01-01T09:15:00+00:00,2026-01-01T09:15:00+00:00,True,True,True,2026-01-01T09:15:00+00:00
BTCUSDT,106.9375,midpoint,15m,1,0.0,1.25,2026-01-01T07:00:00+00:00,2026-01-01T09:45:00+00:00,True,True,True,2026-01-01T09:45:00+00:00
BTCUSDT,111.7289,range_high,15m,1,0.0,1.25,2026-01-01T07:00:00+00:00,2026-01-01T09:45:00+00:00,True,True,True,2026-01-01T09:45:00+00:00
BTCUSDT,102.1461,range_low,15m,2,0.0,1.6875,2026-01-01T07:00:00+00:00,2026-01-01T09:45:00+00:00,True,True,True,2026-01-01T09:45:00+00:00
BTCUSDT,106.98755,midpoint,15m,1,0.0,1.25,2026-01-01T07:15:00+00:00,2026-01-01T10:00:00+00:00,True,True,True,2026-01-01T10:00:00+00:00
BTCUSDT,111.8204,range_high,15m,2,0.0,1.6875,2026-01-01T07:15:00+00:00,2026-01-01T10:00:00+00:00,True,True,True,2026-01-01T10:00:00+00:00
BTCUSDT,102.1547,range_low,15m,2,0.0,1.6875,2026-01-01T07:15:00+00:00,2026-01-01T10:00:00+00:00,True,True,True,2026-01-01T10:00:00+00:00
BTCUSDT,107.82175,midpoint,15m,1,0.0,1.25,2026-01-01T07:30:00+00:00,2026-01-01T10:15:00+00:00,True,True,True,2026-01-01T10:15:00+00:00
BTCUSDT,111.8204,range_high,15m,3,0.0,2.125,2026-01-01T07:30:00+00:00,2026-01-01T10:15:00+00:00,True,True,True,2026-01-01T10:15:00+00:00
BTCUSDT,103.8231,range_low,15m,1,0.0,1.25,2026-01-01T07:30:00+00:00,2026-01-01T10:15:00+00:00,True,True,True,2026-01-01T10:15:00+00:00
BTCUSDT,111.8204,resistance,15m,3,1.0,2.1248,2026-01-01T10:00:00+00:00,2026-01-01T10:00:00+00:00,True,True,True,2026-01-01T10:00:00+00:00
BTCUSDT,108.61155,midpoint,15m,1,0.0,1.25,2026-01-01T07:45:00+00:00,2026-01-01T10:30:00+00:00,True,True,True,2026-01-01T10:30:00+00:00
BTCUSDT,111.8204,range_high,15m,3,0.0,2.125,2026-01-01T07:45:00+00:00,2026-01-01T10:30:00+00:00,True,True,True,2026-01-01T10:30:00+00:00
BTCUSDT,105.4027,range_low,15m,4,0.0,2.5625,2026-01-01T07:45:00+00:00,2026-01-01T10:30:00+00:00,True,True,True,2026-01-01T10:30:00+00:00
BTCUSDT,109.35265,midpoint,15m,3,0.0,2.125,2026-01-01T08:00:00+00:00,2026-01-01T10:45:00+00:00,True,True,True,2026-01-01T10:45:00+00:00
BTCUSDT,112.8193,range_high,15m,1,0.0,1.25,2026-01-01T08:00:00+00:00,2026-01-01T10:45:00+00:00,True,True,True,2026-01-01T10:45:00+00:00
BTCUSDT,105.886,range_low,15m,2,0.0,1.6875,2026-01-01T08:00:00+00:00,2026-01-01T10:45:00+00:00,True,True,True,2026-01-01T10:45:00+00:00
BTCUSDT,110.5912,support,15m,3,1.0,2.1248,2026-01-01T10:30:00+00:00,2026-01-01T10:30:00+00:00,True,True,True,2026-01-01T10:30:00+00:00
BTCUSDT,110.08975,midpoint,15m,3,0.0,2.125,2026-01-01T08:15:00+00:00,2026-01-01T11:00:00+00:00,True,True,True,2026-01-01T11:00:00+00:00
BTCUSDT,113.9684,range_high,15m,1,0.0,1.25,2026-01-01T08:15:00+00:00,2026-01-01T11:00:00+00:00,True,True,True,2026-01-01T11:00:00+00:00
BTCUSDT,106.2111,range_low,15m,2,0.0,1.6875,2026-01-01T08:15:00+00:00,2026-01-01T11:00:00+00:00,True,True,True,2026-01-01T11:00:00+00:00
BTCUSDT,110.8747,midpoint,15m,3,0.0,2.125,2026-01-01T08:30:00+00:00,2026-01-01T11:15:00+00:00,True,True,True,2026-01-01T11:15:00+00:00
BTCUSDT,114.2283,range_high,15m,2,0.0,1.6875,2026-01-01T08:30:00+00:00,2026-01-01T11:15:00+00:00,True,True,True,2026-01-01T11:15:00+00:00
BTCUSDT,107.5211,range_low,15m,1,0.0,1.25,2026-01-01T08:30:00+00:00,2026-01-01T11:15:00+00:00,True,True,True,2026-01-01T11:15:00+00:00
BTCUSDT,111.9354,midpoint,15m,2,0.0,1.6875,2026-01-01T08:45:00+00:00,2026-01-01T11:30:00+00:00,True,True,True,2026-01-01T11:30:00+00:00
BTCUSDT,114.6357,range_high,15m,1,0.0,1.25,2026-01-01T08:45:00+00:00,2026-01-01T11:30:00+00:00,True,True,True,2026-01-01T11:30:00+00:00
BTCUSDT,109.2351,range_low,15m,2,0.0,1.6875,2026-01-01T08:45:00+00:00,2026-01-01T11:30:00+00:00,True,True,True,2026-01-01T11:30:00+00:00
BTCUSDT,112.8716,midpoint,15m,1,0.0,1.25,2026-01-01T09:00:00+00:00,2026-01-01T11:45:00+00:00,True,True,True,2026-01-01T11:45:00+00:00
BTCUSDT,116.1842,range_high,15m,1,0.0,1.25,2026-01-01T09:00:00+00:00,2026-01-01T11:45:00+00:00,True,True,True,2026-01-01T11:45:00+00:00
BTCUSDT,109.559,range_low,15m,4,0.0,2.5625,2026-01-01T09:00:00+00:00,2026-01-01T11:45:00+00:00,True,True,True,2026-01-01T11:45:00+00:00
BTCUSDT,113.8202,midpoint,15m,2,0.0,1.6875,2026-01-01T09:15:00+00:00,2026-01-01T12:00:00+00:00,True,True,True,2026-01-01T12:00:00+00:00
BTCUSDT,118.0814,range_high,15m,1,0.0,1.25,2026-01-01T09:15:00+00:00,2026-01-01T12:00:00+00:00,True,True,True,2026-01-01T12:00:00+00:00
BTCUSDT,109.559,range_low,15m,4,0.0,2.5625,2026-01-01T09:15:00+00:00,2026-01-01T12:00:00+00:00,True,True,True,2026-01-01T12:00:00+00:00
