path,file_count,size_mb,required_for_code_to_run,required_only_for_audit_history,can_regenerate,recommended_action,reason
structural_compounding_lab/output/fresh_btcusdt_data_updater_001,24,9.6788,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/frozen_patch_forensic_integrity_audit_001,13,0.0411,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/frozen_patch_validation_audit_001,17,0.1375,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/htf_context_role_reconciliation_audit_001,46,5.7672,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/long_damage_control_patch_audit_001,14,0.9323,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/long_short_edge_repair_audit_001,15,0.0427,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/milestone_bridge_fragility_driver_repair_audit_001,19,0.0946,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/milestone_gated_compounding_fragility_repair_audit_001,32,6.4216,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/milestone_gated_explosive_compounding_audit_001,29,5.784,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/multi_asset_structural_redundancy_discovery_audit_001,24,10.338,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/native_12h_execution_sleeve_discovery_audit_001,29,1.289,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/native_pre_entry_sr_feature_enrichment_audit_001,21,3.7912,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/native_sr_aware_5y_mission_gap_audit_001,21,0.2336,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/native_sr_aware_strict_stress_monte_carlo_audit_001,23,3.9047,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/native_sr_aware_structural_replay_reproduction_audit_001,20,2.6292,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/participation_routing_001,13,1.4583,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/project_direction_review_001,2,0.0182,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/pullback_archetype_redesign_001,12,1.3619,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/research_architecture_fixture_run,35,0.1396,True,False,True,COMMIT_SMALL_ARTIFACT,fixture or smoke output
structural_compounding_lab/output/research_architecture_smoke,35,0.0541,True,False,True,COMMIT_SMALL_ARTIFACT,fixture or smoke output
structural_compounding_lab/output/rolling_five_year_mission_viability_audit_001,23,37.3245,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/shadow_forward_observer_001,21,3.3709,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/shadow_forward_pilot_automation_001,17,0.0139,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/shadow_forward_validation_spec_audit_001,28,0.0244,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/shadow_forward_watchtower_001,46,0.3424,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/six_hour_native_execution_tide_context_audit_001,46,107.3501,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/six_hour_native_execution_tide_context_audit_001_failed_20260618_234653,29,71.7545,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/six_hour_native_execution_tide_context_audit_001_prepatch_20260618_234413,46,16.8393,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/smoke_run,10,0.0313,True,False,True,COMMIT_SMALL_ARTIFACT,fixture or smoke output
structural_compounding_lab/output/strict_sr_aware_milestone_bridge_monte_carlo_audit_001,24,0.5783,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/structural_cockpit_launcher_20260615_231240,4,0.0007,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/structural_cockpit_launcher_20260616_020927,4,0.0029,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
structural_compounding_lab/output/support_room_short_rescue_repair_audit_001,23,2.7761,False,True,True,DO_NOT_COMMIT_REGENERATE_ON_MAC,generated research-court artifact; preserve via rebuild chain or summary instead of blind commit
